City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Isabela,PH,1610622816,6.7085,121.9711,40,78,82.4,3.44
Lebu,CL,1610622816,-37.6167,-73.65,4,85,52.77,13.02
Hermanus,ZA,1610622817,-34.4187,19.2345,27,56,90.0,1.01
Jamestown,US,1610622804,42.097,-79.2353,90,80,37.0,8.05
Saint Paul Harbor,US,1610622817,57.79,-152.4072,90,75,37.4,17.27
Punta Arenas,CL,1610622704,-53.15,-70.9167,90,87,50.0,8.05
Hong Kong,HK,1610622549,22.2855,114.1577,18,50,61.0,4.41
Kisi,NG,1610622818,9.0833,3.85,3,10,91.99,7.36
Tambacounda,SN,1610622818,13.7539,-13.7586,0,11,87.8,11.5
Asău,RO,1610622818,46.4333,26.4,100,43,36.0,6.31
Princeton,US,1610622819,25.5384,-80.4089,90,77,62.6,3.44
Kilindoni,TZ,1610622819,-7.9139,39.6668,88,77,81.55,13.4
Zhigansk,RU,1610622819,66.7697,123.3711,51,79,-40.9,9.48
Salalah,OM,1610622820,17.0151,54.0924,0,14,86.0,14.97
San Patricio,US,1610622820,28.017,-97.5169,1,93,48.2,8.05
Rāzole,IN,1610622820,16.4833,81.8333,96,54,86.0,9.22
Talara,PE,1610622820,-4.5772,-81.2719,100,76,72.41,9.69
Bluff,NZ,1610622820,-46.6,168.3333,4,94,59.0,10.0
Mahébourg,MU,1610622821,-20.4081,57.7,20,65,84.2,12.66
Tabou,CI,1610622821,4.423,-7.3528,94,72,82.9,5.82
Ambunti,PG,1610622821,-4.2365,142.8448,89,95,76.62,1.68
Rikitea,PF,1610622821,-23.1203,-134.9692,92,76,77.2,10.13
Port Elizabeth,ZA,1610622822,-33.918,25.5701,75,83,75.2,20.71
Ushuaia,AR,1610622808,-54.8,-68.3,90,71,46.4,10.36
Provideniya,RU,1610622822,64.3833,-173.3,99,89,-0.4,7.58
Chui,UY,1610622822,-33.6971,-53.4616,0,55,69.53,9.57
Kandrian,PG,1610622822,-6.2167,149.55,100,82,81.37,5.68
Kruisfontein,ZA,1610622823,-34.0033,24.7314,52,61,88.0,8.99
Oriental,MX,1610622823,19.3667,-97.6167,78,87,47.84,1.9
Cape Town,ZA,1610622566,-33.9258,18.4232,0,40,90.0,4.61
Lompoc,US,1610622823,34.6391,-120.4579,1,76,64.4,5.75
Husavik,IS,1610622823,66.0449,-17.3389,0,75,35.6,8.05
Bethel,US,1610622824,41.3712,-73.414,90,86,33.01,3.29
Mataura,NZ,1610622706,-46.1927,168.8643,34,94,59.0,10.0
Gympie,AU,1610622600,-26.1898,152.665,0,85,73.0,2.48
Gaffney,US,1610622824,35.0718,-81.6498,3,92,37.0,2.53
Mogadishu,SO,1610622825,2.0371,45.3438,7,64,81.34,22.39
Rørvik,NO,1610622825,64.8621,11.2373,20,93,17.6,3.44
Zaozyornoye,UA,1610622825,45.1582,33.2787,90,72,39.76,4.59
Poum,NC,1610622825,-20.2333,164.0167,100,92,78.71,16.2
Puerto del Rosario,ES,1610622825,28.5004,-13.8627,40,59,66.2,14.97
Arraial do Cabo,BR,1610622826,-22.9661,-42.0278,20,74,80.6,18.41
Churapcha,RU,1610622827,62.0025,132.4325,67,76,-46.68,2.66
Necochea,AR,1610622827,-38.5473,-58.7368,0,82,63.0,16.04
Kyzyl-Suu,KG,1610622827,42.3414,78.0056,11,88,28.76,2.46
Tiksi,RU,1610622827,71.6872,128.8694,77,84,-35.77,3.47
Lavrentiya,RU,1610622828,65.5833,-171.0,97,91,0.82,3.33
Albany,US,1610622707,42.6001,-73.9662,98,74,34.0,1.88
